sec,voen,vojp,s,en,cn,jp
157,vocs_over_over_lakevillage_post_n00,vocs_lakevillage_post_n00_jp,TRAPPER,"Hah, poor little raft. All alone at the shore. But I'm almost there, yes?",哎，可怜的小竹筏，孤零零地留在岸边。不过我也应该快走到了吧？,はぁ、可哀想なイカダ。一人ぼっちで岸にいるけど、もう少しで行けるね。
157,vocs_over_over_lakevillage_post_n01,vocs_lakevillage_post_n01_jp,TANUKI,… !,……!,…！
157,vocs_over_over_lakevillage_post_n02,vocs_lakevillage_post_n02_jp,TRAPPER,"Hey! You're Kuma, right?",啊啦！这不是小熊吗？,あら、クマじゃない？
157,vocs_over_over_lakevillage_post_n03,vocs_lakevillage_post_n03_jp,TANUKI,… !,……!,…！
157,vocs_over_over_lakevillage_post_n04,vocs_lakevillage_post_n04_jp,TRAPPER,Huh ... is Takuma-sama here?,也就是说，琢磨大师也在附近吗？,ってことは…巧磨先生もここに？
157,vocs_over_over_lakevillage_post_n05,vocs_lakevillage_post_n05_jp,TANUKI,…,……,…。
157,vocs_over_over_lakevillage_post_n06,vocs_lakevillage_post_n06_jp,TRAPPER,"Hey, what's that in your fur.",呃，你毛上沾着什么？,あれ、その体は…っ！？
157,vocs_over_over_lakevillage_post_n07,vocs_lakevillage_post_n07_jp,TRAPPER,… Blood!,……血！,…血！
157,vocs_over_over_lakevillage_post_n08,vocs_lakevillage_post_n08_jp,TANUKI,… !,……!,…！
157,vocs_over_over_lakevillage_post_n09,vocs_lakevillage_post_n09_jp,TRAPPER,"No … no, no, something's wrong … maybe …",不……不可能，怎么会这样……,え…そ、そんな、何かの間違いでしょ！？きっと…。
157,vocs_over_over_lakevillage_post_n10,vocs_lakevillage_post_n10_jp,TRAPPER,"No, stupid. You told Aiko-san you'd be fast. You promised, stupid.",不行，笨蛋。已经和爱子姐约好要尽快赶回去的。,駄目よ、絶対…。愛琥さんとの約束は破れない…。
157,vocs_over_over_lakevillage_post_n11,vocs_lakevillage_post_n11_jp,TRAPPER,"No! I have to help! Aiko-san is smart, she'll understand.",但我还是不能坐视不管。必须去帮他们！爱子姐她一定会理解我的。,…でも、でもやっぱり駄目！助けないと…っ！愛琥さんなら、きっとわかってくれる。
157,vocs_over_over_lakevillage_post_n12,vocs_lakevillage_post_n12_jp,TANUKI,… ?,……？,…？
157,vocs_over_over_lakevillage_post_n13,vocs_lakevillage_post_n13_jp,TRAPPER,Show me! Where's Takuma-sama?,快告诉我！琢磨师父在哪？,教えて！巧磨先生はどこ？
157,vocs_over_over_lakevillage_post_n14,vocs_lakevillage_post_n14_jp,TANUKI,…,……,…。
157,vocs_over_over_lakevillage_post_n15,vocs_lakevillage_post_n15_jp,TRAPPER,Come on! Takuma-sama! You know …,就是！琢磨师父呀！你听得懂吧……,さぁ！巧磨先生よ！わかるでしょ！
157,vocs_over_over_lakevillage_post_n16,vocs_lakevillage_post_n16_jp,TANUKI,… !!,…!!,…！！
157,vocs_over_over_lakevillage_post_n17,vocs_lakevillage_post_n17_jp,TRAPPER,Yes! Clever little thing!,对了！小家伙真聪明！,そうよ！利口な子ね！
